,cov_true,cov_test,precision,recall,f1,tss,tn,fp,fn,tp
0,0.5,0.01,0.11819821512883666,0.996231554853505,0.21132384437392734,0.026234141773006425,105656.0,3415907.0,1732.0,457874.0
1,0.5,0.011,0.11955283476980082,0.994630183243909,0.21344941725355318,0.038635927284268345,154969.0,3366594.0,2468.0,457138.0
2,0.5,0.011999999999999999,0.12134089051771571,0.9927611911071657,0.21625042980743914,0.054533478014996084,217535.0,3304028.0,3327.0,456279.0
3,0.5,0.012999999999999998,0.1235143499594496,0.9907812343616054,0.21964674694239017,0.07317703418117416,290162.0,3231401.0,4237.0,455369.0
4,0.5,0.013999999999999997,0.1260993599610486,0.9883791769472113,0.2236633142485198,0.0944090846898813,373391.0,3148172.0,5341.0,454265.0
5,0.5,0.014999999999999996,0.12895081479128473,0.9857007958990962,0.22806573740629177,0.11671250859598681,461366.0,3060197.0,6572.0,453034.0
6,0.5,0.015999999999999993,0.13206389212137515,0.9827482669939035,0.23283843839261642,0.13980920839975086,553100.0,2968463.0,7929.0,451677.0
7,0.5,0.016999999999999994,0.13542949983025268,0.9799154058041017,0.2379702504823471,0.16347225257924103,646407.0,2875156.0,9231.0,450375.0
8,0.5,0.017999999999999995,0.13899938559090005,0.9775720943590814,0.24339135098239964,0.18727642167056213,738487.0,2783076.0,10308.0,449298.0
9,0.5,0.018999999999999993,0.1427340668300552,0.9750743027723746,0.2490164226372403,0.2107531760454071,829958.0,2691605.0,11456.0,448150.0
10,0.5,0.01999999999999999,0.14652275441957185,0.9725808627389547,0.25467744848525253,0.2332091689768383,917819.0,2603744.0,12602.0,447004.0
11,0.5,0.02099999999999999,0.1504888371829374,0.9704268438619165,0.26056983548978285,0.25547328488824483,1003809.0,2517754.0,13592.0,446014.0
12,0.5,0.021999999999999992,0.15451845934775812,0.968013907564305,0.26649746953043896,0.2767313719402086,1087168.0,2434395.0,14701.0,444905.0
13,0.5,0.02299999999999999,0.1584424163221001,0.9654726004447287,0.27221241717598715,0.2962007458733352,1164680.0,2356883.0,15869.0,443737.0
