,cov_true,cov_test,precision,recall,f1,tss,tn,fp,fn,tp
0,0.5,0.001,0.11603322315520141,0.9808800204528926,0.20751808944765154,0.06345691595095615,270976.0,3010523.0,7703.0,395174.0
1,0.5,0.0011,0.11667468313753337,0.9796190896973518,0.2085148154957765,0.06907393944742024,293546.0,2987953.0,8211.0,394666.0
2,0.5,0.0012000000000000001,0.11731415005223465,0.9777971936844247,0.20949366903486785,0.074553889328702,317507.0,2963992.0,8945.0,393932.0
3,0.5,0.0013000000000000002,0.11795767197990228,0.9756054577451678,0.2104682307558027,0.07995685325069746,342429.0,2939070.0,9828.0,393049.0
4,0.5,0.0014000000000000002,0.11871379265043398,0.9734385432774767,0.21161989510630072,0.08623242192866631,370133.0,2911366.0,10701.0,392176.0
5,0.5,0.0015000000000000002,0.11951176285449751,0.9708000208500361,0.21282356772622363,0.09270223687996637,400022.0,2881477.0,11764.0,391113.0
6,0.5,0.0016000000000000003,0.12041124027957179,0.9683526237536518,0.21418885087206876,0.09989951741414049,431671.0,2849828.0,12750.0,390127.0
7,0.5,0.0017000000000000003,0.12145440492564029,0.9657463692392467,0.21577275030023357,0.10808802468390788,467094.0,2814405.0,13800.0,389077.0
8,0.5,0.0018000000000000004,0.12248455433640479,0.9629167214807497,0.21732501724737258,0.11595775547161791,502204.0,2779295.0,14940.0,387937.0
9,0.5,0.0019000000000000004,0.12362044523574736,0.9599480734814845,0.2190340642001375,0.12444149554256079,539785.0,2741714.0,16136.0,386741.0
10,0.5,0.0020000000000000005,0.12480248773958533,0.9565276746997222,0.2207966401769293,0.13299550236019075,579079.0,2702420.0,17514.0,385363.0
11,0.5,0.0021000000000000003,0.12603399234446871,0.9531097580651167,0.22262877935553,0.14168181004501978,618799.0,2662700.0,18891.0,383986.0
12,0.5,0.0022000000000000006,0.1272305438482723,0.9491482512032209,0.22438317950595682,0.14978826358780484,658400.0,2623099.0,20487.0,382390.0
13,0.5,0.002300000000000001,0.1285105426778206,0.9454175840268866,0.22626491244484642,0.15828615415291736,698528.0,2582971.0,21990.0,380887.0
14,0.5,0.0024000000000000007,0.1298258595534248,0.9415528809040973,0.22818804865621525,0.16675240100146738,738992.0,2542507.0,23547.0,379330.0
15,0.5,0.0025000000000000005,0.13126823111979416,0.9379463210855918,0.23030467402500046,0.1758598478000598,780713.0,2500786.0,25000.0,377877.0
16,0.5,0.0026000000000000007,0.1325716356442652,0.9334908669395374,0.23217102334847262,0.18360826755431747,820760.0,2460739.0,26795.0,376082.0
17,0.5,0.002700000000000001,0.13393017144341038,0.929397806278343,0.23412232188356819,0.1915337996155343,860199.0,2421300.0,28444.0,374433.0
18,0.5,0.002800000000000001,0.13535173092389163,0.9252972991756789,0.23615840397435323,0.19959724563307535,900115.0,2381384.0,30096.0,372781.0
19,0.5,0.0029000000000000007,0.13677518569481803,0.9210255239192111,0.23817990651506069,0.2073702706340509,939640.0,2341859.0,31817.0,371060.0
20,0.5,0.003000000000000001,0.13818277328610057,0.9167165164553945,0.24016402663807168,0.2147821261051308,978102.0,2303397.0,33553.0,369324.0
21,0.5,0.003100000000000001,0.13961140214229847,0.9122883659280624,0.24216348703825108,0.22203887933672106,1016446.0,2265053.0,35337.0,367540.0
22,0.5,0.003200000000000001,0.14111109396578994,0.9079470905512104,0.24425986871209848,0.22946783457703512,1055070.0,2226429.0,37086.0,365791.0
23,0.5,0.003300000000000001,0.14252700830130108,0.9035139757295652,0.24621433745917057,0.23615677098868304,1091567.0,2189932.0,38872.0,364005.0
24,0.5,0.003400000000000001,0.1438547463838362,0.8987532174832518,0.24801252367796392,0.24205790841870534,1126554.0,2154945.0,40790.0,362087.0
25,0.5,0.0035000000000000014,0.14530210218347092,0.8944715136381576,0.2499940165766841,0.2485087996467774,1161773.0,2119726.0,42515.0,360362.0
26,0.5,0.003600000000000001,0.14677621073896838,0.8905124889234183,0.25201479353327316,0.2549657464133642,1195953.0,2085546.0,44110.0,358767.0
27,0.5,0.003700000000000001,0.14823513396746135,0.8865559463558357,0.2540005262446753,0.2611314071437256,1229169.0,2052330.0,45704.0,357173.0
28,0.5,0.0038000000000000013,0.14956662268712873,0.8821203493870338,0.2557670398728743,0.26632890773186335,1260780.0,2020719.0,47491.0,355386.0
29,0.5,0.0039000000000000016,0.15098730793098533,0.8781067174348498,0.2576693014896673,0.271899310393129,1292230.0,1989269.0,49108.0,353769.0
30,0.5,0.004000000000000002,0.15235277751455273,0.8739615316833674,0.259473078762573,0.27698496700972286,1322521.0,1958978.0,50778.0,352099.0
31,0.5,0.004100000000000001,0.1536705726648538,0.8697964887546323,0.261194775224954,0.28167563301157106,1351581.0,1929918.0,52456.0,350421.0
32,0.5,0.0042000000000000015,0.15498585983031796,0.8655594635583566,0.2628976383889025,0.28617211649532226,1380240.0,1901259.0,54163.0,348714.0
33,0.5,0.004300000000000002,0.15644165008655292,0.8620621182147404,0.2648245876901421,0.2913704922230823,1408775.0,1872724.0,55572.0,347305.0
34,0.5,0.004400000000000001,0.1577487844023715,0.8577779322224898,0.26648915066458617,0.2955004486700036,1436386.0,1845113.0,57298.0,345579.0
35,0.5,0.004500000000000001,0.15899900220181415,0.8535533177619968,0.2680634337098867,0.29926852291671424,1462614.0,1818885.0,59000.0,343877.0
36,0.5,0.004600000000000002,0.1603036948509518,0.849316292565721,0.2697025445063979,0.3031204838819458,1489158.0,1792341.0,60707.0,342170.0
37,0.5,0.004700000000000002,0.16167149381489002,0.8454565537372448,0.2714376276790435,0.30722113145005225,1515280.0,1766219.0,62262.0,340615.0
