,cov_true,cov_test,precision,recall,f1,tss,tn,fp,fn,tp
0,0.5,0.01,0.1407844151376889,0.9777691199482813,0.24612975485528582,0.19836055004151265,788964.0,2787621.0,10385.0,456758.0
1,0.5,0.011,0.14646785743502339,0.9735049010688376,0.2546261522512835,0.2325411045981819,926465.0,2650120.0,12377.0,454766.0
2,0.5,0.011999999999999999,0.152307227667629,0.9694312020088067,0.26325456075361253,0.2647117559450336,1056096.0,2520489.0,14280.0,452863.0
3,0.5,0.012999999999999998,0.15821838790083537,0.9652932827849288,0.2718746071600942,0.29450872153446217,1177467.0,2399118.0,16213.0,450930.0
4,0.5,0.013999999999999997,0.16429438145672876,0.9611296754955121,0.28061992199255553,0.32258117182511137,1292762.0,2283823.0,18158.0,448985.0
5,0.5,0.014999999999999996,0.17029122019291248,0.9568825819930942,0.28912790938350563,0.3479441672762623,1398665.0,2177920.0,20142.0,447001.0
6,0.5,0.015999999999999993,0.1763462196807364,0.9527361000807033,0.29760701529379785,0.3715269298806382,1497841.0,2078744.0,22079.0,445064.0
7,0.5,0.016999999999999994,0.1824199972078761,0.948238547939282,0.3059768557181352,0.39315709454169745,1591289.0,1985296.0,24180.0,442963.0
8,0.5,0.017999999999999995,0.1886956276267131,0.944400322813357,0.31454390349718603,0.4140541965504553,1679757.0,1896828.0,25973.0,441170.0
9,0.5,0.018999999999999993,0.19507516397030555,0.9406434432283048,0.3231366867854182,0.43369980844820033,1763458.0,1813127.0,27728.0,439415.0
10,0.5,0.01999999999999999,0.2013869201683302,0.9367324352500198,0.33150417705960006,0.4515534167169778,1841301.0,1735284.0,29555.0,437588.0
11,0.5,0.02099999999999999,0.20779595370541648,0.9330269317960453,0.3398936392132,0.4684309554666697,1914918.0,1661667.0,31286.0,435857.0
12,0.5,0.021999999999999992,0.2140945025571222,0.9292935996044038,0.3480124562442155,0.4837409285508709,1983028.0,1593557.0,33030.0,434113.0
13,0.5,0.02299999999999999,0.22058934538940822,0.9258214294124069,0.35628824772145834,0.4985633046928769,2048460.0,1528125.0,34652.0,432491.0
14,0.5,0.023999999999999987,0.22678837695215492,0.9217348863196066,0.3640131036669132,0.5112805003620522,2108560.0,1468025.0,36561.0,430582.0
15,0.5,0.024999999999999988,0.23327623242787612,0.9182627161276098,0.3720392906656699,0.5240626621655202,2166695.0,1409890.0,38183.0,428960.0
16,0.5,0.02599999999999999,0.2400184606263138,0.9151244907876175,0.38029366199469716,0.5366645911906556,2222991.0,1353594.0,39649.0,427494.0
17,0.5,0.02699999999999999,0.24664089640203002,0.9114361127106689,0.38822533921880964,0.5478188632953747,2276077.0,1300508.0,41372.0,425771.0
18,0.5,0.027999999999999983,0.2532607021360689,0.9080688354529555,0.39606010767993305,0.5583642988628842,2325837.0,1250748.0,42945.0,424198.0
19,0.5,0.028999999999999984,0.25989131852260117,0.9044275521628281,0.4037603013363366,0.5680253696339632,2373414.0,1203171.0,44646.0,422497.0
20,0.5,0.029999999999999985,0.26659302195216344,0.9009746480199853,0.41144262605980564,0.5772392971196152,2418718.0,1157867.0,46259.0,420884.0
21,0.5,0.030999999999999986,0.2733740645485913,0.8978706734340448,0.41913452837947285,0.5861621581883565,2461733.0,1114852.0,47709.0,419434.0
22,0.5,0.03199999999999998,0.28008409045354815,0.8943920812256633,0.4265816516665221,0.5941285616951615,2502667.0,1073918.0,49334.0,417809.0
23,0.5,0.03299999999999998,0.28675552628170325,0.8909584431319746,0.4338697916313757,0.6015139031587879,2541362.0,1035223.0,50938.0,416205.0
24,0.5,0.03399999999999998,0.29350378423086076,0.8872636430386412,0.44109488596667207,0.6083112345260517,2578888.0,997697.0,52664.0,414479.0
25,0.5,0.03499999999999998,0.3004594499407678,0.8838985064530561,0.44847194654053035,0.6151099833227516,2615240.0,961345.0,54236.0,412907.0
26,0.5,0.035999999999999976,0.3073647225329558,0.8805119631461886,0.4556673575669085,0.621352457640238,2649679.0,926906.0,55818.0,411325.0
27,0.5,0.03699999999999998,0.31424258786569803,0.8770590590033459,0.4627028077004955,0.6270731087183674,2682489.0,894096.0,57431.0,409712.0
28,0.5,0.03799999999999998,0.32108943051066074,0.8739550844174053,0.4696356275303643,0.6325997133022214,2713357.0,863228.0,58881.0,408262.0
29,0.5,0.03899999999999998,0.32796713201693706,0.8708168590774131,0.47648168461592066,0.637756551549422,2743025.0,833560.0,60347.0,406796.0
30,0.5,0.03999999999999997,0.3348328788713593,0.8677107438193444,0.48320589939275166,0.6425674856554814,2771341.0,805244.0,61798.0,405345.0
31,0.5,0.040999999999999974,0.3416606462768612,0.8645639557908392,0.4897719369623651,0.6469767881434885,2798366.0,778219.0,63268.0,403875.0
32,0.5,0.041999999999999975,0.34846312114221584,0.8614235897787187,0.4962024130198754,0.6510553194873654,2824185.0,752400.0,64735.0,402408.0
33,0.5,0.042999999999999976,0.3550499360520936,0.8581248140291089,0.5022807478071178,0.6545292053688925,2848408.0,728177.0,66276.0,400867.0
34,0.5,0.04399999999999998,0.3617727101889629,0.8551214510331954,0.5084412675138482,0.6580840536275696,2871864.0,704721.0,67679.0,399464.0
35,0.5,0.04499999999999997,0.36839698190066195,0.8518248159557138,0.5143486075358707,0.6610769377422784,2894359.0,682226.0,69219.0,397924.0
36,0.5,0.04599999999999997,0.37495400999720985,0.8486416365010286,0.5201090500236808,0.6638681724284566,2915727.0,660858.0,70706.0,396437.0
37,0.5,0.04699999999999997,0.3815796719619965,0.8454777230954975,0.5258386666009854,0.6665070010240243,2936481.0,640104.0,72184.0,394959.0
38,0.5,0.047999999999999966,0.3878813811652473,0.8421789473458876,0.5311374177561079,0.6685898952193479,2955729.0,620856.0,73725.0,393418.0
