,cov_true,cov_test,precision,recall,f1,tss,tn,fp,fn,tp
18,0.5,0.027999999999999983,0.22869344995405377,0.9037301536212896,0.36501741222388584,0.5059405352194971,1218598.0,804944.0,25424.0,238667.0
19,0.5,0.028999999999999984,0.23320245442153353,0.8991483996046817,0.37035096133225714,0.513296759263142,1242755.0,780787.0,26634.0,237457.0
20,0.5,0.029999999999999985,0.2377989555033151,0.8955322218477721,0.37580652721952396,0.5209197848437466,1265498.0,758044.0,27589.0,236502.0
21,0.5,0.030999999999999986,0.24207059916968762,0.891544959881253,0.3807583989158568,0.5272347552993861,1286345.0,737197.0,28642.0,235449.0
22,0.5,0.03199999999999998,0.24642965951232837,0.8882127751419019,0.3858166503695431,0.5337348349755995,1306241.0,717301.0,29522.0,234569.0
23,0.5,0.03299999999999998,0.25064982294135124,0.8847329140334202,0.39063153072722834,0.5395327649878359,1325015.0,698527.0,30441.0,233650.0
24,0.5,0.03399999999999998,0.25480098243492244,0.8807229326254965,0.39525203390190533,0.5445584250442355,1343299.0,680243.0,31500.0,232591.0
25,0.5,0.03499999999999998,0.2588752355874128,0.8774248270482523,0.3997950299949792,0.5495922443788538,1360159.0,663383.0,32371.0,231720.0
26,0.5,0.035999999999999976,0.26294462159246385,0.8739866182490127,0.4042638157157269,0.5542576479583046,1376557.0,646985.0,33279.0,230812.0
27,0.5,0.03699999999999998,0.26678252960189713,0.8707225918338755,0.40842642596238643,0.5584048835777582,1391554.0,631988.0,34141.0,229950.0
28,0.5,0.03799999999999998,0.2706359945872801,0.8671253469448031,0.41252118899775364,0.5621378547158304,1406387.0,617155.0,35091.0,229000.0
29,0.5,0.03899999999999998,0.27457751149123005,0.8638423876618286,0.4167033504971039,0.5659894150029958,1420824.0,602718.0,35958.0,228133.0
30,0.5,0.03999999999999997,0.2782588136137225,0.8600861066829237,0.4204815875822045,0.5689367260424428,1434389.0,589153.0,36950.0,227141.0
31,0.5,0.040999999999999974,0.2820241456467406,0.8566895501929259,0.42435098367635565,0.5720544894924314,1447571.0,575971.0,37847.0,226244.0
32,0.5,0.041999999999999975,0.28543651170897105,0.8526909285057045,0.42770100359348767,0.5741017022875188,1459805.0,563737.0,38903.0,225188.0
33,0.5,0.042999999999999976,0.28880302214296943,0.8487642517162645,0.4309647202683255,0.5759816754218263,1471555.0,551987.0,39940.0,224151.0
34,0.5,0.04399999999999998,0.2922733653181371,0.8451935128421643,0.43434680532055775,0.578093546545443,1483054.0,540488.0,40883.0,223208.0
35,0.5,0.04499999999999997,0.29575290397453236,0.8414675244517988,0.43767497968930796,0.5799656628645424,1494382.0,529160.0,41867.0,222224.0
36,0.5,0.04599999999999997,0.2990116969023618,0.8376847374579217,0.4407113935524356,0.5813871167512599,1504913.0,518629.0,42866.0,221225.0
37,0.5,0.04699999999999997,0.3022642824603867,0.8341405045987936,0.44373428194749254,0.5828450039370826,1515035.0,508507.0,43802.0,220289.0
38,0.5,0.047999999999999966,0.305269649126226,0.8303917967670235,0.4464242637681189,0.5837554531675331,1524463.0,499079.0,44792.0,219299.0
39,0.5,0.04899999999999997,0.30824546816172743,0.8268134847457884,0.44907184606588596,0.5846524621428476,1533519.0,490023.0,45737.0,218354.0
40,0.5,0.04999999999999997,0.31133422406669903,0.8232200264302835,0.45180134498208624,0.5855694118149208,1542646.0,480896.0,46686.0,217405.0
41,0.5,0.05099999999999997,0.3142609468383544,0.8195243306284576,0.4543091134077749,0.5861399976123898,1551279.0,472263.0,47662.0,216429.0
42,0.5,0.05199999999999997,0.3171207256310571,0.8160331097992737,0.4567447134311435,0.5866991004236344,1559475.0,464067.0,48584.0,215507.0
43,0.5,0.052999999999999964,0.3200860059852293,0.8128486014290529,0.45930534842769455,0.5875085788350074,1567557.0,455985.0,49425.0,214666.0
44,0.5,0.053999999999999965,0.323096604253481,0.8100238175477392,0.4619384485156297,0.5885443523327845,1575369.0,448173.0,50171.0,213920.0
45,0.5,0.054999999999999966,0.3258933827970768,0.8069831989730812,0.46428797065045235,0.5891325193232395,1582712.0,440830.0,50974.0,213117.0
46,0.5,0.05599999999999996,0.32855090369186846,0.8035601364681114,0.4664037353969299,0.5892364406911026,1589849.0,433693.0,51878.0,212213.0
47,0.5,0.05699999999999996,0.33143485838233633,0.8007618586017698,0.4688238169610938,0.5899522979403158,1596960.0,426582.0,52617.0,211474.0
48,0.5,0.05799999999999996,0.3339757316202712,0.7972819974932883,0.47075539298925373,0.5897770383671619,1603647.0,419895.0,53536.0,210555.0
49,0.5,0.05899999999999996,0.33656723722658777,0.7942148729036582,0.47278198539356237,0.5898978881314123,1610098.0,413444.0,54346.0,209745.0
50,0.5,0.05999999999999996,0.33917801990809154,0.7909243404735489,0.47476080239021456,0.5898146031911006,1616588.0,406954.0,55215.0,208876.0
51,0.5,0.06099999999999996,0.3416070663512788,0.7880086788266166,0.47660336567088973,0.5897963363103753,1622451.0,401091.0,55985.0,208106.0
52,0.5,0.06199999999999996,0.34395073569554635,0.7848582496185027,0.4782962855277033,0.5894815289969391,1628189.0,395353.0,56817.0,207274.0
53,0.5,0.06299999999999996,0.34617945771866115,0.7814995588641794,0.4798157800519834,0.5888680246533748,1633744.0,389798.0,57704.0,206387.0
54,0.5,0.06399999999999995,0.3483725503492236,0.7781332949627212,0.48127629626767193,0.5881782557295351,1639160.0,384382.0,58593.0,205498.0
55,0.5,0.06499999999999995,0.350418422580264,0.7748730551211515,0.4825945971441036,0.5874086980680238,1644200.0,379342.0,59454.0,204637.0
56,0.5,0.06599999999999995,0.35254947879282644,0.7718400096936283,0.48401696372176084,0.5868470616846421,1649201.0,374341.0,60255.0,203836.0
57,0.5,0.06699999999999995,0.35456831810181955,0.7681935393481792,0.4851912084758329,0.5856937444341127,1654246.0,369296.0,61218.0,202873.0
58,0.5,0.06799999999999995,0.35687438983269276,0.7654520600853494,0.48679283448961747,0.5854241683983965,1659248.0,364294.0,61942.0,202149.0
59,0.5,0.06899999999999995,0.3592245474386956,0.7628279646031103,0.4884379784676669,0.585242325164937,1664190.0,359352.0,62635.0,201456.0
60,0.5,0.06999999999999995,0.36160768992337466,0.759810065469857,0.4900103663130235,0.584746241738993,1669293.0,354249.0,63432.0,200659.0
61,0.5,0.07099999999999995,0.36389456321073155,0.7568300320722782,0.4914790575755304,0.5841694201353873,1674156.0,349386.0,64219.0,199872.0
62,0.5,0.07199999999999994,0.3661330934920994,0.7537704806297829,0.4928644291048102,0.5834606970918084,1678913.0,344629.0,65027.0,199064.0
63,0.5,0.07299999999999994,0.3682054671920202,0.7508775384242553,0.4941138654629857,0.582727828657915,1683284.0,340258.0,65791.0,198300.0
64,0.5,0.07399999999999994,0.37035363045092756,0.7477611883782485,0.4953624907970997,0.5818466681953217,1687807.0,335735.0,66614.0,197477.0
65,0.5,0.07499999999999994,0.37259229648546804,0.7446978503621857,0.4966815165015001,0.5810397696304787,1692373.0,331169.0,67423.0,196668.0
66,0.5,0.07599999999999994,0.3746590148254424,0.7416117929047185,0.4978210337285424,0.5800648618303943,1696645.0,326897.0,68238.0,195853.0
67,0.5,0.07699999999999994,0.37654062422184603,0.7386393326542745,0.4988032894198511,0.5790256453673291,1700557.0,322985.0,69023.0,195068.0
68,0.5,0.07799999999999994,0.3786283052152471,0.7355116228875652,0.4999112090242515,0.5779794342796688,1704769.0,318773.0,69849.0,194242.0
69,0.5,0.07899999999999993,0.38078342238096646,0.7326906255798191,0.5011278789401306,0.5771919999026649,1708884.0,314658.0,70594.0,193497.0
70,0.5,0.07999999999999993,0.382708448360099,0.729657580152296,0.5020759591295955,0.5760605705522975,1712732.0,310810.0,71395.0,192696.0
71,0.5,0.08099999999999993,0.3846395781873837,0.7270372712436244,0.5031089915757202,0.575236616747696,1716367.0,307175.0,72087.0,192004.0
72,0.5,0.08199999999999993,0.386544466113598,0.7242503530979851,0.5040624267037025,0.5742425944253211,1719995.0,303547.0,72823.0,191268.0
73,0.5,0.08299999999999993,0.38849994495435286,0.7215694590122345,0.5050669698764765,0.5733432299544734,1723600.0,299942.0,73531.0,190560.0
74,0.5,0.08399999999999994,0.3905757073463663,0.7191422653555024,0.5062178064756879,0.5726985542785887,1727207.0,296335.0,74172.0,189919.0
75,0.5,0.08499999999999994,0.3926899147129055,0.7167377911401752,0.5073889908994652,0.5720731387633033,1730807.0,292735.0,74807.0,189284.0
76,0.5,0.08599999999999992,0.39456741368563286,0.7142765183213362,0.5083316603091749,0.5712382221060859,1734098.0,289444.0,75457.0,188634.0
77,0.5,0.08699999999999992,0.3966215617523829,0.7118796172531437,0.5094208484792649,0.5705408162794057,1737537.0,286005.0,76090.0,188001.0
78,0.5,0.08799999999999993,0.3982789980322289,0.7089260898705371,0.510023618636657,0.5691444594423077,1740688.0,282854.0,76870.0,187221.0
79,0.5,0.08899999999999993,0.4002051365681682,0.7062262629169491,0.5108954393923207,0.5680907559692308,1744019.0,279523.0,77583.0,186508.0
80,0.5,0.08999999999999993,0.40209029828946086,0.7036211003025472,0.5117415239884002,0.5670709323297549,1747227.0,276315.0,78271.0,185820.0
81,0.5,0.09099999999999993,0.4040002182334006,0.7009818585260383,0.5125817509234186,0.5660195004430334,1750440.0,273102.0,78968.0,185123.0
82,0.5,0.09199999999999993,0.4056841405921731,0.6982782449988829,0.5132066335120933,0.5647727383180233,1753388.0,270154.0,79682.0,184409.0
