,cov_true,cov_test,precision,recall,f1,tss,tn,fp,fn,tp
0,0.5,0.01,0.12284501693885899,0.9907094829634608,0.21858602022049273,0.06676387563132702,272015.0,3304570.0,4340.0,462803.0
1,0.5,0.011,0.12559915811788852,0.9882391473274779,0.2228725737239594,0.08963754831613047,362660.0,3213925.0,5494.0,461649.0
2,0.5,0.011999999999999999,0.12877605517571558,0.9857645303472384,0.22779406905257993,0.11470232995216878,461157.0,3115428.0,6650.0,460493.0
3,0.5,0.012999999999999998,0.13219145940872828,0.982934561793712,0.23304191948938668,0.14013088174696342,562226.0,3014359.0,7972.0,459171.0
4,0.5,0.013999999999999997,0.13579623829008977,0.9797385383062573,0.23853099123589697,0.16537204065556543,663934.0,2912651.0,9465.0,457678.0
5,0.5,0.014999999999999996,0.1396717454630361,0.9770348694082969,0.24440468744645122,0.19099064006662037,765231.0,2811354.0,10728.0,456415.0
6,0.5,0.015999999999999993,0.14370184203809422,0.9738045951667905,0.25044600988722915,0.21589782096737964,865867.0,2710718.0,12237.0,454906.0
7,0.5,0.016999999999999994,0.14783334697125636,0.9707263086463888,0.2565901934322987,0.23987299466112066,962626.0,2613959.0,13675.0,453468.0
8,0.5,0.017999999999999995,0.15203249080236467,0.9679370128632988,0.26278907510206245,0.26280376424765006,1054616.0,2521969.0,14978.0,452165.0
9,0.5,0.018999999999999993,0.15628874471962345,0.9649679006214371,0.26900821058140656,0.2845741730852539,1143099.0,2433486.0,16365.0,450778.0
10,0.5,0.01999999999999999,0.16065573653261556,0.961848941330599,0.2753245543648667,0.30550413196635906,1229112.0,2347473.0,17822.0,449321.0
11,0.5,0.02099999999999999,0.16498621603183794,0.9587984835478643,0.2815281855978096,0.32499500900441014,1309733.0,2266852.0,19247.0,447896.0
12,0.5,0.021999999999999992,0.16930893615084378,0.9555125518310239,0.2876488675897282,0.3431940972157974,1386576.0,2190009.0,20782.0,446361.0
13,0.5,0.02299999999999999,0.17365663984025148,0.9524128585893399,0.29375241402760494,0.3604755776355809,1459471.0,2117114.0,22230.0,444913.0
14,0.5,0.023999999999999987,0.17811654762645804,0.9494309023147087,0.299959623941312,0.37722724994799584,1530050.0,2046535.0,23623.0,443520.0
15,0.5,0.024999999999999988,0.18256996720055227,0.9465688236792588,0.30610061488992385,0.3930215152831211,1596776.0,1979809.0,24960.0,442183.0
16,0.5,0.02599999999999999,0.18699597437071172,0.9435590386669607,0.3121329608503376,0.4077490411413881,1660215.0,1916370.0,26366.0,440777.0
17,0.5,0.02699999999999999,0.19134596409420665,0.9402602629173508,0.3179816480553092,0.4212537245574348,1720314.0,1856271.0,27907.0,439236.0
18,0.5,0.027999999999999983,0.19583976084081414,0.9373254014295408,0.32398733840034094,0.4346201672466541,1778617.0,1797968.0,29278.0,437865.0
19,0.5,0.028999999999999984,0.20037612035116806,0.9344697448104756,0.3299926938078036,0.4474054082995301,1834558.0,1742027.0,30612.0,436531.0
20,0.5,0.029999999999999985,0.20501144852308872,0.9318880942238243,0.3360855042595021,0.45990350557291854,1888492.0,1688093.0,31818.0,435325.0
21,0.5,0.030999999999999986,0.20965065227996116,0.929195128686505,0.34211193136118645,0.47167405760892683,1940222.0,1636363.0,33076.0,434067.0
22,0.5,0.03199999999999998,0.21426788809111166,0.9262987992970033,0.34803065820063434,0.4826392749183013,1989799.0,1586786.0,34429.0,432714.0
23,0.5,0.03299999999999998,0.21892748096637926,0.9237064453497109,0.35396240313781596,0.49327266564085454,2037102.0,1539483.0,35640.0,431503.0
24,0.5,0.03399999999999998,0.22362107070904483,0.9209621036813138,0.35986293755779414,0.5033394273014711,2082922.0,1493663.0,36922.0,430221.0
25,0.5,0.03499999999999998,0.22835944379551318,0.9181942146195062,0.36575404667344574,0.5129545796045408,2127211.0,1449374.0,38215.0,428928.0
26,0.5,0.035999999999999976,0.2332302281604208,0.9153621053938515,0.3717421864200933,0.5223061595684343,2170787.0,1405798.0,39538.0,427605.0
27,0.5,0.03699999999999998,0.23813679167594842,0.913078008233025,0.3777530786568598,0.5315383551840971,2211976.0,1364609.0,40605.0,426538.0
28,0.5,0.03799999999999998,0.24295529543010047,0.9100254097781622,0.38351984778724496,0.5396603828041073,2251943.0,1324642.0,42031.0,425112.0
29,0.5,0.03899999999999998,0.24779187484795748,0.907079844929711,0.38925018521572063,0.5474317448565966,2290273.0,1286312.0,43407.0,423736.0
30,0.5,0.03999999999999997,0.252696427513939,0.9043162372121599,0.39501293192924186,0.5550154377064862,2327281.0,1249304.0,44698.0,422445.0
31,0.5,0.040999999999999974,0.2576281056850492,0.9015569108388651,0.4007408580956065,0.5622421734566976,2362997.0,1213588.0,45987.0,421156.0
32,0.5,0.041999999999999975,0.26253173104578026,0.8988425385802634,0.4063714751783552,0.5690609172850893,2397093.0,1179492.0,47255.0,419888.0
33,0.5,0.042999999999999976,0.26756928662978197,0.8960168513709935,0.41208223766144647,0.5756646159285254,2430818.0,1145767.0,48575.0,418568.0
34,0.5,0.04399999999999998,0.27247911729586943,0.8929749562767718,0.4175488908074021,0.5815647703032804,2462800.0,1113785.0,49996.0,417147.0
35,0.5,0.04499999999999997,0.2772590095272395,0.8899159358055242,0.4227938783480326,0.5869266317627012,2492918.0,1083667.0,51425.0,415718.0
36,0.5,0.04599999999999997,0.2822114592285785,0.887096670612639,0.4281999577380888,0.5924007525790957,2522580.0,1054005.0,52742.0,414401.0
37,0.5,0.04699999999999997,0.2871684113426764,0.8843352035672161,0.4335507501141307,0.5976214808400895,2551129.0,1025456.0,54032.0,413111.0
